publication_id,study_id,es_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation
124,176,198,Rohlfs Dominguez et al. (2013),Providing choice increases children's vegetable intake,2013,0,food,structure,composition,framed_field,0,150,94,44,50,0,22.36,3.72,47.86,6.59,4.6871,0.1596,0
124,176,404,Rohlfs Dominguez et al. (2013),Providing choice increases children's vegetable intake,2013,0,food,structure,composition,framed_field,0,150,100,44,56,0,22.36,3.72,43.25,5.95,4.1015,0.1247,0
82,116,135,Diliberti et al. (2004),Increased portion size leads to increased energy intake in a restaurant meal,2004,1,food,structure,default,natural_field,1,180,180,89,91,0,1671,122.64,2390,305.26,3.0784,0.0485,0
132,188,212,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,39,27,13,14,0,35,7.77,14.45,5.9,2.995,0.2342,0
132,188,406,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,39,25,13,12,0,35,7.77,15.86,5.8,2.7746,0.3142,0
213,338,453,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,food,structure,default,natural_field,1,105,105,53,52,1,0.06,NA,1,NA,2.646659,0.07145489,1
154,218,245,Van Kleef et al. (2018),The effect of a default-based nudge on the choice of whole wheat bread,2018,0,food,structure,default,conventional_lab,1,117,117,59,58,1,0.19,NA,1,NA,2.239539,0.05562444,0
213,337,452,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,food,structure,default,natural_field,1,105,105,53,52,1,0.02,NA,0.9,NA,2.214297,0.06144685,1
132,187,211,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,59,40,19,21,0,45.25,14.02,20.25,9.26,2.1263,0.1568,0
40,55,67,Zuraikat et al. (2018),Doggy bags and downsizing: Packaging uneaten food to go after a meal attenuates the portion size effect in women,2018,1,food,structure,consequence,artefactual_field,1,53,53,26,27,0,522.7,29.3,473,20.5,1.9722,0.1122,0
21,24,34,Wansink & van Ittersum (2003),Bottoms up! The influence of elongation on pouring and consumption volume,2003,1,food,structure,default,natural_field,0,97,97,49,48,0,5.54,NA,9.66,NA,1.966,0.0612,1
212,333,448,Loeb et al. (2017),The application of defaults to optimize parents' health-based choices for children,2017,1,health,structure,default,framed_field,1,62,62,28,34,1,0.178571429,NA,0.970588235,NA,1.924318,0.09498894,1
112,155,176,Young et al. (2009),Opt-out testing for stigmatized diseases: A social psychological approach to understanding the potential effect of recommendations for routine HIV testing,2009,1,health,structure,default,conventional_lab,1,40,40,20,20,1,0.125,NA,0.94,NA,1.923924,0.1462686,1
