UID,Study_ID,Dependent_Variable,Study ,Short_name,Publication_Year,Effect_size,Standard_error,Lower_CI,Upper_CI,Sample_size,Covariates ,T_value,PCC,Standardised_effect_size,Standarised_se,var,Precision,Standardised_T,weights,Control_gender,Control_race,Control_income,Control_education,Homicide,Violent,Non_Violent,Both,Area_dummy,OLS,ML,Odds_Ratio,Panel_dummy,Endogeneity,North_America,Europe,Direct_Lead_Measure,Rep_estimate,Elasticity,Elasticity_SE
1,1,Youth arrest rate for violent crime,"Barrett, K. L. (2017). Exploring Community Levels of Lead (Pb) and Youth Violence. Sociological Spectrum. https://doi.org/10.1080/02732173.2017.1319307",Barrett (2017),2017,0.062,0.008,,,77,2,7.75,0.666859451,0.805066048,0.086046381,0.00740398,11.6216393,7.75,135.0625,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0.78368,0.10112
2,1,Youth arrest rate for violent crime,"Barrett, K. L. (2017). Exploring Community Levels of Lead (Pb) and Youth Violence. Sociological Spectrum. https://doi.org/10.1080/02732173.2017.1319307",Barrett (2017),2017,0.046,0.011,,,77,6,4.181818182,0.444553394,0.477891499,0.106306246,0.011301018,9.406784961,4.181818182,88.48760331,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0.58144,0.13904
3,2,Criminal conviction,"Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.29,0.098575743,1.06,1.56,553,2,,0.0700235,0.070138286,0.026974211,0.000727608,37.07244646,2.595942447,1374.366286,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,,
4,2,"Criminal conviction, male","Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.23,0.105130013,1,1.51,553,3,,0.056973752,0.057035518,0.028839615,0.000831723,34.67452717,1.975537922,1202.322834,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,
5,2,Non-violent offence,"Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.33,0.115957836,1.06,1.67,553,2,,0.078371895,0.078532946,0.0316714,0.001003078,31.57422744,2.474532039,996.9318387,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,
6,2,"Non-violent offence, male","Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.28,0.118949961,1.01,1.61,553,3,,0.067893525,0.067998134,0.032563815,0.001060402,30.7089325,2.084937687,943.0385356,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,
7,2,Repeat offences,"Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.28,0.122099409,1.01,1.63,553,2,,0.067893525,0.067998134,0.03342601,0.001117298,29.91682231,2.031158534,895.0162574,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,
8,2,"Repeat offences, male","Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.21,0.133583243,0.93,1.57,553,3,,0.052474859,0.052523104,0.036672157,0.001344847,27.26864447,1.430918272,743.5789713,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,
9,2,One time offence,"Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.29,0.134909217,0.99,1.68,553,2,,0.0700235,0.070138286,0.036916483,0.001362827,27.08817111,1.896808544,733.769014,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,
10,2,"One time offence, male","Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.25,0.139283045,0.95,1.64,553,3,,0.061396697,0.061474018,0.038178488,0.001457597,26.19276058,1.608148973,686.0607069,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,
